file_create_count,file_update_count,file_delete_count,file_access_sensitive_docs,file_sensitive_word_matches,file_contains_card_number,file_contains_passport_data,file_confidentiality_score,archive_created_count,file_permission_changed_count,file_system_update_count,visited_webmail_allowed,visited_file_sharing_allowed,http_requests_count,upload_volume_MB,distinct_domains_accessed,visited_webmail,visited_file_sharing_site,vpn_activated,proxy_used,external_ip_contacted,site_contains_sensitive_words,dns_request_count,suspicious_dns_queries,non_http_traffic_count,used_ftp_or_smtp,upload_spike_detected,visited_risky_category_sites,site_category_diversity,external_upload_without_web_activity,site_semantic_risk_score,process_count,unknown_processes_started,admin_tools_used,time_in_terminal_sec,automation_tool_detected,screen_capture_tools_used,usb_devices_connected,usb_vendor_blacklisted,usb_file_copy_count,usb_copy_volume_MB,usb_executable_found,usb_encrypted_volume_found,usb_access_outside_hours,activity_outside_work_hours,activity_weekend_hours,clipboard_sensitive_matches,danger_score
3,0,0,0,0,0,0,0.6047595097814374,0,0,1,3,2,50,24.783309266189548,5,3,0,0,0,4,0,26,0,0,0,0,3,5,0,0.8964762504154734,51,1,0,66,0,0,1,0,1,24.185477084569904,0,0,0,0,0,3,0
0,3,1,3,2,0,0,0.6979679966141822,1,0,0,0,3,45,39.224644352923285,2,2,4,1,0,2,0,37,0,2,0,0,1,8,0,0.05079952008824373,55,3,0,56,0,0,3,1,5,20.26292274903517,1,0,0,1,1,3,0
2,2,2,2,5,0,0,0.6227876359436806,2,0,0,1,3,52,97.6266029927085,7,1,0,0,0,5,2,35,0,1,0,0,1,3,0,0.2906321822724426,52,1,0,67,0,0,1,0,3,26.476841326351444,0,0,0,0,0,0,0
2,1,0,1,2,0,0,0.6192203378820187,0,0,0,2,2,63,16.99921068361175,5,2,1,0,0,3,2,33,1,1,0,1,2,2,0,0.03461068859115801,46,2,0,58,0,0,2,0,5,30.737727968584707,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0.4929036797997741,1,1,1,2,1,48,37.693961977382614,8,2,1,0,0,0,2,22,0,0,0,0,1,5,0,0.13603742865824775,36,1,0,49,0,0,2,0,5,12.305699615898416,0,0,0,0,0,3,0
1,3,1,1,0,0,0,0.8176460567663216,0,0,0,4,2,48,88.93696071026429,3,3,0,0,0,1,0,22,0,1,0,0,0,3,0,0.07203238398639977,48,2,0,59,0,0,2,0,5,1.3647883063369393,0,0,0,0,0,0,0
1,3,0,2,1,0,0,0.14866734742893084,0,0,0,4,1,43,44.2390212094625,6,4,1,0,0,3,1,27,1,1,0,0,2,4,0,0.03972620767171664,58,1,0,60,0,0,4,0,4,18.609990801291158,0,0,0,0,0,1,0
5,1,0,1,2,0,0,0.08525468035971895,0,0,0,3,1,44,83.42773406141637,8,1,0,0,0,5,3,32,0,1,0,0,1,5,0,0.5087568383271627,61,1,0,75,0,0,1,0,2,36.570941111284675,0,0,0,0,1,2,0
1,1,0,3,2,0,0,0.6115158652699545,0,0,0,1,1,47,75.44033809746713,4,1,3,0,0,4,1,29,0,3,0,0,3,3,0,0.6435643093864041,46,3,0,54,0,0,1,0,4,32.21575682642983,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0.43415537406551863,0,1,1,3,1,52,17.631643735047305,4,5,3,0,0,4,1,37,0,3,0,0,1,1,0,0.5145394169559944,59,0,0,69,0,0,3,0,7,35.119726377598106,0,0,0,0,0,2,0
