file_create_count,file_update_count,file_delete_count,file_access_sensitive_docs,file_sensitive_word_matches,file_contains_card_number,file_contains_passport_data,file_confidentiality_score,archive_created_count,file_permission_changed_count,file_system_update_count,visited_webmail_allowed,visited_file_sharing_allowed,http_requests_count,upload_volume_MB,distinct_domains_accessed,visited_webmail,visited_file_sharing_site,vpn_activated,proxy_used,external_ip_contacted,site_contains_sensitive_words,dns_request_count,suspicious_dns_queries,non_http_traffic_count,used_ftp_or_smtp,upload_spike_detected,visited_risky_category_sites,site_category_diversity,external_upload_without_web_activity,site_semantic_risk_score,process_count,unknown_processes_started,admin_tools_used,time_in_terminal_sec,automation_tool_detected,screen_capture_tools_used,usb_devices_connected,usb_vendor_blacklisted,usb_file_copy_count,usb_copy_volume_MB,usb_executable_found,usb_encrypted_volume_found,usb_access_outside_hours,activity_outside_work_hours,activity_weekend_hours,clipboard_sensitive_matches,danger_score
2,4,0,1,0,0,0,0.8889437538074654,1,0,0,4,2,47,97.80150207502639,5,3,0,0,0,3,3,32,0,1,0,0,1,2,0,0.7823206237331688,49,1,0,58,0,0,0,0,7,16.090699247798348,0,1,0,0,0,1,6
4,2,1,1,0,0,0,0.6391711725502704,2,0,0,2,1,38,50.72987557680194,1,1,1,0,0,2,1,22,0,2,0,0,1,6,0,0.058095613858682116,39,6,1,65,0,0,1,0,2,48.55427099963437,1,1,1,0,0,0,6
1,1,1,0,2,0,0,0.9806214655293951,0,0,0,4,2,47,23.239169435769558,7,3,4,0,0,2,2,47,0,1,0,0,0,5,0,0.862676362886007,64,4,1,53,0,0,3,0,7,3.416689766523928,0,0,0,1,0,1,1
1,1,1,1,4,0,0,0.08718399894017392,2,0,1,3,1,59,22.261312884924116,7,0,1,0,0,5,0,32,0,4,0,0,1,9,0,0.7208053104665958,41,1,0,52,0,0,0,0,5,48.47989192221038,0,0,0,1,0,4,1
2,5,0,1,0,0,0,0.9307456577577404,1,0,0,3,3,53,97.91609600192895,5,4,0,0,0,2,0,29,0,1,0,0,2,5,0,0.4802044439616322,70,4,0,63,0,0,1,0,4,17.871323328090746,0,0,0,0,0,2,6
2,2,0,1,2,0,0,0.8013696338543952,2,0,0,3,4,39,18.134118324147995,6,0,3,0,0,2,3,25,0,1,0,0,3,7,0,0.7971563139196401,57,1,0,67,0,0,4,0,4,34.030146974063555,0,0,0,0,0,1,5
4,3,0,0,1,0,0,0.26946902791693916,1,0,0,2,0,52,2.427780902443604,4,2,1,0,0,3,1,28,0,1,0,0,0,1,0,0.3670735799895988,52,2,0,71,0,0,0,1,8,30.620015372328293,0,0,0,0,1,0,1
1,0,0,0,2,0,0,0.07952983159169413,1,0,0,1,5,52,46.98040645646023,7,3,0,0,0,0,0,35,0,1,0,0,0,5,0,0.48869236512853265,50,2,0,64,0,0,6,0,8,38.98703021371489,0,0,0,1,0,2,5
1,0,0,0,0,0,0,0.1427078918706729,3,0,0,1,3,39,21.35038323758086,7,1,2,0,0,1,1,31,0,1,0,0,1,5,0,0.14742330584808105,50,1,0,62,0,0,3,0,7,9.465599106603056,0,0,1,1,0,2,1
0,1,3,1,3,0,0,0.3950353490277818,0,0,0,4,7,45,91.4141649333733,5,0,0,0,0,5,1,31,0,0,0,0,2,7,0,0.5095790906418184,48,1,0,59,0,0,1,0,7,31.952165672267025,0,0,0,0,0,0,6
2,3,2,0,1,0,0,0.41021273954795623,2,0,0,4,5,43,63.97299114002146,2,1,1,0,0,3,1,26,0,2,0,0,0,3,0,0.0032935903818989143,42,4,0,56,0,0,3,0,8,37.740180888033834,0,1,0,1,0,1,6
1,2,1,2,2,0,0,0.9285220272627946,2,0,0,1,1,59,80.01579309788174,5,2,1,0,0,1,0,33,0,2,0,0,0,7,0,0.9307066425267535,56,2,0,56,0,0,2,0,5,28.066454165797275,0,0,0,0,0,1,6
1,2,1,0,2,0,0,0.10939337220978884,1,1,0,3,4,48,95.77540464467826,3,3,2,0,0,4,1,29,0,2,0,0,0,7,0,0.2940784383273902,58,1,0,47,0,0,0,0,3,35.83499839455703,0,0,0,1,0,2,6
1,0,0,1,0,0,0,0.8484289314127542,1,0,0,3,2,47,57.03591631905078,2,1,0,0,0,3,2,30,0,0,0,0,1,3,0,0.39307363367375725,45,1,0,55,0,0,0,0,7,20.2797465181515,0,0,0,0,0,0,6
2,0,1,0,3,0,0,0.8739177756982237,2,0,0,6,2,50,83.19084433521981,3,1,2,0,0,2,1,32,0,0,0,0,1,3,0,0.6904894931782524,50,1,0,51,0,0,4,0,6,8.260629310526232,0,0,0,0,0,0,6
0,2,0,1,0,0,0,0.8070272214693684,0,0,0,4,5,56,33.55732057445328,7,1,0,0,0,1,0,18,0,0,0,0,1,5,0,0.39023989339095855,51,3,0,59,0,0,3,0,6,14.660511443514538,1,0,0,0,0,1,1
1,2,0,0,0,1,0,0.32148334394815625,1,0,0,7,3,57,16.346366459276382,5,1,0,0,0,3,0,31,0,0,0,0,0,6,0,0.8910688137962849,53,5,0,57,0,0,1,0,6,22.73218138482696,0,0,0,1,0,4,1
0,1,1,2,6,0,0,0.13828458862595772,1,0,0,2,1,49,69.72054753499344,3,2,1,0,0,2,1,27,0,0,0,0,1,7,0,0.48524654415944235,37,1,0,59,0,0,2,0,7,3.649186504281276,0,0,0,0,0,0,7
1,2,2,1,2,0,0,0.9910246107392873,3,1,1,2,3,53,85.29601933972297,5,2,0,0,0,8,0,33,0,0,0,0,1,4,1,0.8940517499407145,44,0,0,62,0,0,5,0,5,31.114527372933303,0,0,0,0,1,4,6
3,1,2,1,3,0,0,0.25211660077157005,0,0,0,2,1,54,16.036785997647307,6,3,1,0,0,3,0,25,0,3,0,0,0,2,0,0.5339917484104288,49,3,0,55,0,0,1,0,6,32.179519046934004,0,0,0,0,0,0,1
0,0,0,2,5,0,0,0.8300859988715097,2,1,0,2,1,52,16.155928437585047,5,2,2,0,0,0,0,35,0,3,0,0,0,9,0,0.63765127647671,41,2,0,59,0,0,2,0,5,21.16547156234983,0,0,0,0,0,0,1
