file_create_count,file_update_count,file_delete_count,file_access_sensitive_docs,file_sensitive_word_matches,file_contains_card_number,file_contains_passport_data,file_confidentiality_score,archive_created_count,file_permission_changed_count,file_system_update_count,danger_score
3,3,1,0,2,0,0,0.3867636526316456,0,0,0,0
1,0,1,0,2,1,1,0.5966272218275636,0,0,0,3
5,0,1,2,2,0,0,0.7372856795377122,0,0,1,0
3,0,0,2,1,0,0,0.5854504879441013,1,1,0,0
1,0,0,2,0,0,0,0.7944683639307693,1,1,0,0
1,0,0,0,1,0,0,0.501920457135815,0,0,0,0
1,1,1,4,4,0,0,0.9557764259462991,1,0,0,2
0,0,0,0,2,0,0,0.8156609875099777,2,0,0,0
1,1,1,1,1,0,0,0.5961094354721608,0,0,1,0
0,2,0,0,4,0,0,0.962877664541666,2,0,1,0
3,0,0,1,2,0,0,0.5897925330353302,0,0,0,0
1,3,0,0,0,0,0,0.7557302597097914,1,1,0,0
0,0,0,2,4,0,0,0.10206658956744352,0,0,0,0
5,2,1,1,1,0,0,0.742640645710399,0,2,0,0
3,1,2,1,1,0,0,0.6992193531342356,0,0,0,0
1,0,0,3,1,0,1,0.3787295256209342,3,0,1,5
5,0,0,1,0,1,0,0.06191691404049582,0,0,0,3
2,1,0,0,2,0,0,0.9236904820228312,0,0,0,0
3,0,0,0,3,0,0,0.39804507075230366,1,0,0,0
3,2,0,0,4,0,0,0.9915540341132919,1,1,0,0
1,1,0,0,1,0,0,0.41169588785919986,2,1,0,0
7,0,0,0,4,0,0,0.6643131940538973,0,0,1,2
4,1,1,1,1,0,0,0.1275858165363869,2,0,0,0
1,0,1,2,3,0,0,0.46609759183204824,1,0,0,0
1,1,1,0,4,0,0,0.658901364037397,0,0,0,0
0,1,0,3,4,0,0,0.2864919167682368,1,1,0,2
5,3,0,0,3,0,0,0.5405676337479982,1,0,0,0
2,1,0,0,1,0,1,0.6513428193767972,2,0,0,3
1,0,0,0,1,0,0,0.011168735029846943,2,0,1,0
3,2,1,1,1,0,0,0.7371076766411686,0,0,0,0
1,0,1,0,1,0,0,0.1323501094680335,1,1,0,0
3,1,0,1,2,0,0,0.20204287872074045,0,0,2,0
1,1,0,1,4,0,0,0.29866652828653417,1,0,1,0
2,0,0,2,3,0,0,0.6945812162230631,0,0,1,0
4,0,0,1,1,0,0,0.9729919718257396,0,0,1,0
2,0,0,2,0,0,0,0.3725291624441581,1,0,0,0
4,0,2,1,3,0,0,0.3527739364212268,1,0,0,0
1,0,0,2,2,0,0,0.9573618157603188,1,0,0,0
5,0,0,2,2,0,0,0.8089323027835782,1,0,0,0
5,2,1,0,2,0,0,0.34284955517254234,0,1,0,0
3,0,1,1,1,0,0,0.49016577210126566,2,0,0,0
0,1,0,1,2,0,0,0.2875682532283629,0,0,0,0
1,1,0,1,1,0,0,0.3172775603811955,0,0,0,0
2,1,2,0,3,0,0,0.6350544413219426,2,0,0,0
1,0,1,1,0,0,0,0.6730473823690827,0,1,0,0
1,1,0,4,2,0,1,0.49724439812512167,2,0,0,5
2,0,2,0,5,0,0,0.6579937651029067,0,0,1,0
3,1,3,3,2,0,0,0.8325087386021424,2,0,0,2
3,2,1,2,0,0,0,0.9506453019589615,4,0,0,1
0,2,0,0,1,0,0,0.8690948215052344,0,1,0,0
4,1,1,2,2,1,0,0.9364883841177755,0,0,1,3
0,0,0,4,1,0,0,0.825364662559056,0,0,1,2
6,0,0,0,2,0,0,0.7976939399360622,1,0,1,2
2,0,0,0,1,0,0,0.8645452665422363,1,1,0,0
3,1,0,1,0,0,0,0.48230388018956116,1,0,1,0
1,0,2,0,2,0,0,0.8506485207190849,0,1,0,0
2,0,0,2,3,0,0,0.42783004568111294,0,0,0,0
3,2,1,1,1,0,0,0.05179999947843772,2,1,2,0
1,3,1,2,1,0,1,0.6497839874093868,0,0,0,3
2,0,1,2,3,0,0,0.796487781832537,0,0,0,0
1,1,0,0,3,1,0,0.14495320841611947,0,0,0,3
2,0,1,0,1,0,0,0.349242087251178,1,0,0,0
2,0,0,2,3,0,0,0.4324849737269708,0,0,1,0
0,1,0,1,7,0,0,0.6992272805627114,0,0,1,2
