file_create_count,file_update_count,file_delete_count,file_access_sensitive_docs,file_sensitive_word_matches,file_contains_card_number,file_contains_passport_data,file_confidentiality_score,archive_created_count,file_permission_changed_count,file_system_update_count,visited_webmail_allowed,visited_file_sharing_allowed,http_requests_count,upload_volume_MB,distinct_domains_accessed,visited_webmail,visited_file_sharing_site,vpn_activated,proxy_used,external_ip_contacted,site_contains_sensitive_words,dns_request_count,suspicious_dns_queries,non_http_traffic_count,used_ftp_or_smtp,upload_spike_detected,visited_risky_category_sites,site_category_diversity,external_upload_without_web_activity,site_semantic_risk_score,process_count,unknown_processes_started,admin_tools_used,time_in_terminal_sec,automation_tool_detected,screen_capture_tools_used,usb_devices_connected,usb_vendor_blacklisted,usb_file_copy_count,usb_copy_volume_MB,usb_executable_found,usb_encrypted_volume_found,usb_access_outside_hours,activity_outside_work_hours,activity_weekend_hours,clipboard_sensitive_matches,danger_score
5,2,1,0,0,0,0,0.0,0,0,0,1,0,103,-0.9314595071405137,8,0,0,0,0,3,0,27,0,0,0,0,0,1,0,0.04112724560515946,75,0,0,0,0,0,0,0,5,-12.208436499710222,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0.0,0,0,0,0,0,107,2.199293951569641,15,0,0,0,0,4,0,22,0,0,0,0,0,2,0,0.0,96,0,0,0,0,0,0,0,5,-5.017570435845365,0,0,0,0,0,0,0
3,4,3,0,0,0,0,0.006023020994102644,0,0,0,0,1,88,4.926484224970572,7,0,0,0,0,3,0,33,0,0,0,0,0,1,0,0.0,96,0,0,0,0,0,0,0,5,-3.220615162056756,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.18657745111447566,0,0,0,0,1,95,0.947665841823575,11,0,0,0,0,7,0,31,0,0,0,0,0,0,0,0.0,91,0,0,0,0,0,0,0,6,7.403408179477386,0,0,0,0,0,0,0
10,4,1,0,0,0,0,0.0,0,0,0,1,0,101,0.16039742508162919,7,0,0,0,0,8,0,36,0,0,0,0,0,2,0,0.01886481327302046,83,0,0,0,0,0,0,0,1,16.513509864794898,0,0,0,0,0,0,0
5,0,2,0,0,0,0,0.019905969557347004,0,0,0,2,1,99,-1.2004337543175894,16,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0.0,85,0,0,0,0,0,0,0,10,-3.5548864091635974,0,0,0,0,0,0,0
3,2,5,0,0,0,0,0.062411981705215516,0,0,0,1,1,114,1.2566910185285598,5,0,0,0,0,4,0,28,0,0,0,0,0,2,0,0.0,94,0,0,0,0,0,0,0,6,15.700322805426723,0,0,0,0,0,0,0
4,6,2,0,0,0,0,0.21898029332176724,0,0,0,0,1,102,-1.616596570710303,12,0,0,0,0,8,0,23,0,0,0,0,0,3,0,0.012969465449984702,81,0,0,0,0,0,0,0,6,3.0234829033164266,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0.08860635602461532,0,0,0,2,3,118,-0.2741556420837059,7,0,0,0,0,2,0,23,0,0,0,0,0,3,0,0.0,70,0,0,0,0,0,0,0,4,-7.928728322623442,0,0,0,0,0,0,0
4,4,3,0,0,0,0,0.0,0,0,0,1,0,91,0.4069272717344462,6,0,0,0,0,5,0,26,0,0,0,0,0,3,0,0.0,71,0,0,0,0,0,0,0,7,-4.871253837646961,0,0,0,0,0,0,0
5,2,1,0,0,0,0,0.0,0,0,0,1,1,105,-0.7691110884596507,11,0,0,0,0,5,0,34,0,0,0,0,0,1,0,0.027174157648188882,81,0,0,0,0,0,0,0,6,10.34920927080599,0,0,0,0,0,0,0
7,1,2,0,0,0,0,0.10375399442578992,0,0,0,1,1,88,-1.020032797709494,12,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0.005469739730244645,86,0,0,0,0,0,0,0,5,7.2576662389869195,0,0,0,0,0,0,0
3,4,2,0,0,0,0,0.0,0,0,0,1,1,88,-2.6382900904038897,10,0,0,0,0,2,0,29,0,0,0,0,0,2,0,0.0,77,0,0,0,0,0,0,0,2,-3.7144086599579147,0,0,0,0,0,0,0
3,4,2,0,0,0,0,0.0326133022242118,0,0,0,2,0,96,-2.502227152770606,8,0,0,0,0,8,0,26,0,0,0,0,0,3,0,0.009792262754884078,74,0,0,0,0,0,0,0,8,-9.78372777615032,0,0,0,0,0,0,0
4,4,3,0,0,0,0,0.2560084538268795,0,0,0,1,0,107,-0.19211979944929974,12,0,0,0,0,3,0,39,0,0,0,0,0,5,0,0.0,99,0,0,0,0,0,0,0,3,-16.609609335159913,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0.0,0,0,0,1,2,92,-0.8794621165483498,14,0,0,0,0,10,0,34,0,0,0,0,0,1,0,0.0,85,0,0,0,0,0,0,0,7,-12.073958316463745,0,0,0,0,0,0,0
3,6,1,0,0,0,0,0.23573763650327084,0,0,0,0,1,87,1.875676603133288,17,0,0,0,0,5,0,25,0,0,0,0,0,3,0,0.0,92,0,0,0,0,0,0,0,7,4.625485526475405,0,0,0,0,0,0,0
3,4,3,0,0,0,0,0.12089819441064659,0,0,0,0,2,94,-2.8829884961272305,4,0,0,0,0,5,0,30,0,0,0,0,0,3,0,0.0,65,0,0,0,0,0,0,0,8,7.083564472993533,0,0,0,0,0,0,0
9,0,4,0,0,0,0,0.0,0,0,0,1,1,99,-2.8615502042360963,4,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0.0,76,0,0,0,0,0,0,0,3,0.37660233167937734,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0.0,0,0,0,0,0,109,0.8483318928038328,10,0,0,0,0,3,0,29,0,0,0,0,0,1,0,0.0,86,0,0,0,0,0,0,0,6,20.017371025301355,0,0,0,0,0,0,0
7,3,3,0,0,0,0,0.0,0,0,0,1,2,89,0.5083477844924041,12,0,0,0,0,3,0,19,0,0,0,0,0,2,0,0.045816383735124075,79,0,0,0,0,0,0,0,5,3.464884758979927,0,0,0,0,0,0,0
6,5,1,0,0,0,0,0.0,0,0,0,2,1,95,0.6575248206069608,13,0,0,0,0,5,0,25,0,0,0,0,0,3,0,0.0,77,0,0,0,0,0,0,0,3,22.90942572590742,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0.0,0,0,0,0,1,101,-3.1736234311901783,5,0,0,0,0,6,0,25,0,0,0,0,0,2,0,0.0401450809072843,78,0,0,0,0,0,0,0,4,-5.604481514895242,0,0,0,0,0,0,0
6,4,2,0,0,0,0,0.0,0,0,0,0,0,100,-2.0295134613857337,13,0,0,0,0,8,0,24,0,0,0,0,0,2,0,0.0,96,0,0,0,0,0,0,0,4,-14.071440262149164,0,0,0,0,0,0,0
7,4,6,0,0,0,0,0.0,0,0,0,2,3,108,2.62613703117743,10,0,0,0,0,6,0,29,0,0,0,0,0,1,0,0.0,69,0,0,0,0,0,0,0,7,14.90726136849952,0,0,0,0,0,0,0
3,2,2,0,0,0,0,0.0,0,0,0,2,1,95,-0.06187799431124821,10,0,0,0,0,7,0,38,0,0,0,0,0,2,0,0.022998607146955823,80,0,0,0,0,0,0,0,3,-6.777153697521062,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0,0,0,0,0,2,101,3.0026673039109735,11,0,0,0,0,5,0,25,0,0,0,0,0,5,0,0.0606865718862921,86,0,0,0,0,0,0,0,2,-1.4004285194223807,0,0,0,0,0,0,0
9,2,3,0,0,0,0,0.16699045043514063,0,0,0,0,0,109,0.7893430596459622,9,0,0,0,0,8,0,32,0,0,0,0,0,2,0,0.09306577986181974,83,0,0,0,0,0,0,0,5,18.8661464608941,0,0,0,0,0,0,0
