file_create_count,file_update_count,file_delete_count,file_access_sensitive_docs,file_sensitive_word_matches,file_contains_card_number,file_contains_passport_data,file_confidentiality_score,archive_created_count,file_permission_changed_count,file_system_update_count,visited_webmail_allowed,visited_file_sharing_allowed,http_requests_count,upload_volume_MB,distinct_domains_accessed,visited_webmail,visited_file_sharing_site,vpn_activated,proxy_used,external_ip_contacted,site_contains_sensitive_words,dns_request_count,suspicious_dns_queries,non_http_traffic_count,used_ftp_or_smtp,upload_spike_detected,visited_risky_category_sites,site_category_diversity,external_upload_without_web_activity,site_semantic_risk_score,process_count,unknown_processes_started,admin_tools_used,time_in_terminal_sec,automation_tool_detected,screen_capture_tools_used,usb_devices_connected,usb_vendor_blacklisted,usb_file_copy_count,usb_copy_volume_MB,usb_executable_found,usb_encrypted_volume_found,usb_access_outside_hours,activity_outside_work_hours,activity_weekend_hours,clipboard_sensitive_matches,danger_score
5,2,1,0,0,0,0,0.0,0,0,13,1,1,286,0.0,10,0,0,0,0,3,0,27,0,0,0,0,0,1,0,0.0,73,0,0,0,0,0,0,0,6,0.0,0,0,0,0,0,0,0
3,3,4,0,0,0,0,0.0,0,0,16,0,0,335,0.0,10,0,0,0,0,3,0,22,0,0,0,0,0,2,0,0.0,96,0,0,0,0,0,0,0,5,0.0,0,0,0,0,0,0,0
3,4,3,0,0,0,0,0.006023020994102644,0,0,7,1,0,373,0.6796419283732875,7,0,0,0,0,5,0,24,0,0,0,0,0,1,0,0.0,70,0,0,0,0,0,0,0,8,0.0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.11907272561136402,0,0,15,1,1,334,0.0,11,0,0,0,0,7,0,31,0,0,0,0,0,0,0,0.0,91,0,0,0,0,0,0,0,6,7.403408179477386,0,0,0,0,0,0,0
10,4,1,0,0,0,0,0.0,0,0,13,2,1,302,0.09114367980762757,10,0,0,0,0,4,0,33,0,0,0,0,0,3,0,0.0,86,0,0,0,0,0,0,0,1,4.438194281462284,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0.07746340534293368,0,0,23,1,1,295,1.176634412969153,7,0,0,0,0,3,0,36,0,0,0,0,0,4,0,0.0,88,0,0,0,0,0,0,0,6,0.0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0.0,0,0,10,1,0,290,0.0,13,0,0,0,0,6,0,35,0,0,0,0,0,1,0,0.010191136376373356,61,0,0,0,0,0,0,0,5,0.6965266451887907,0,0,0,0,0,0,0
6,5,1,0,0,0,0,0.09835043063584652,0,0,17,0,2,260,3.6629175317087075,3,0,0,0,0,8,0,31,0,0,0,0,0,1,0,0.0,85,0,0,0,0,0,0,0,6,5.354918099752046,0,0,0,0,0,0,0
1,3,3,0,0,0,0,0.0,0,0,12,2,1,323,0.7331964921936965,7,0,0,0,0,2,0,26,0,0,0,0,0,1,0,0.0,85,0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0
2,3,2,0,0,0,0,0.0,0,0,13,0,0,306,1.821128244742161,10,0,0,0,0,4,0,28,0,0,0,0,0,1,0,0.0,65,0,0,0,0,0,0,0,7,0.0,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0.0,0,0,17,1,1,322,0.3394585687807474,7,0,0,0,0,3,0,36,0,0,0,0,0,3,0,0.004469695957282471,75,0,0,0,0,0,0,0,6,5.093781163361058,0,0,0,0,0,0,0
2,5,1,0,0,0,0,0.12473270552317245,0,0,12,2,1,268,0.0,15,0,0,0,0,3,0,31,0,0,0,0,0,3,0,0.0,90,0,0,0,0,0,0,0,3,7.810732676164527,0,0,0,0,0,0,0
5,2,3,0,0,0,0,0.0,0,0,16,1,1,295,5.139853679380668,9,0,0,0,0,6,0,34,0,0,0,0,0,1,0,0.0,89,0,0,0,0,0,0,0,7,0.0,0,0,0,0,0,0,0
6,4,3,0,0,0,0,0.1764686934262719,0,0,12,3,0,305,0.0,8,0,0,0,0,6,0,39,0,0,0,0,0,1,0,0.0,77,0,0,0,0,0,0,0,4,5.8102200986598564,0,0,0,0,0,0,0
3,4,3,0,0,0,0,0.0,0,0,11,3,2,318,0.0,16,0,0,0,0,9,0,32,0,0,0,0,0,2,0,0.0,81,0,0,0,0,0,0,0,2,0.8228398927542419,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0.10654803750653513,0,0,14,0,2,329,0.0,17,0,0,0,0,6,0,24,0,0,0,0,0,4,0,0.0,89,0,0,0,0,0,0,0,8,4.714155563864041,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0.024002273768504622,0,0,20,3,1,309,0.0,12,0,0,0,0,8,0,34,0,0,0,0,0,1,0,0.0,85,0,0,0,0,0,0,0,6,15.655240292343404,0,0,0,0,0,0,0
5,4,3,0,0,0,0,0.0,0,0,14,0,0,302,0.0,9,0,0,0,0,6,0,39,0,0,0,0,0,0,0,0.0,80,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
4,2,3,0,0,0,0,0.0,0,0,4,1,2,279,0.0,5,0,0,0,0,7,0,38,0,0,0,0,0,2,0,0.0,73,0,0,0,0,0,0,0,9,0.0,0,0,0,0,0,0,0
5,7,3,0,0,0,0,0.021159497038039328,0,0,10,1,0,299,2.3454580385187294,9,0,0,0,0,5,0,25,0,0,0,0,0,2,0,0.0,70,0,0,0,0,0,0,0,4,5.206644205342091,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0.0,0,0,9,2,4,319,1.9259310582282598,11,0,0,0,0,6,0,37,0,0,0,0,0,1,0,0.015381037772552592,89,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,4,3,0,0,0,0,0.0,0,0,16,3,1,322,0.5623828479387516,8,0,0,0,0,6,0,22,0,0,0,0,0,1,0,0.0698707351530186,81,0,0,0,0,0,0,0,6,0.0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0.0,0,0,16,1,1,258,3.3554016281528813,6,0,0,0,0,3,0,25,0,0,0,0,0,2,0,0.0,84,0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0
7,4,1,0,0,0,0,0.06294135848867875,0,0,12,0,2,266,0.0,11,0,0,0,0,5,0,37,0,0,0,0,0,1,0,0.0014090578684564125,84,0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0,0
