user_id,session_id,timestamp_start,duration,num_actions,uniq_resources,num_file_open,num_file_delete,external_drive_use,night_activity,weekend_activity,web_connections_count,sensitive_keywords_detected,email_external_count,auth_failed_count,new_ip_login,actions_seq,entropy_of_activity_timeline,is_anomaly
user_59,aa3476cc-342d-4883-8e08-32e50e0fbc03,2025-01-01 00:16:18,1.0,100,30,30,20,1,1,0,100,5,6,5,1,close mass_download upload upload open delete download delete close close external_email close mass_download read read upload mass_download read read upload open mass_download upload external_email mass_download email delete upload upload read download email mass_download mass_download write write delete email mass_download email delete close close mass_download mass_download open external_email write email external_email download mass_download write email open download external_email upload write delete close upload delete email read write mass_download download read external_email upload download download write close email read write read email download delete close close upload delete email mass_download upload close mass_download read download write upload close mass_download open write mass_download,3.2542,1
user_12,dd232ad7-ca72-4fad-9fb7-f55f11b1195e,2025-01-01 21:36:35,1.0,5,30,1,1,0,0,0,100,5,10,5,1,delete external_email external_email close upload,1.9219,1
user_28,995aae11-76d4-4816-8fde-9564e6afc2a4,2025-01-01 12:50:25,1.0,5,30,1,1,1,0,0,100,3,8,10,1,write delete upload open close,2.3219,1
user_37,0acd9de7-095a-4f93-971d-a9f921e6d0bf,2025-01-01 17:03:08,60.0,100,30,30,20,0,0,0,100,4,9,7,0,delete read delete open mass_download download read write write close download download close write upload download external_email close close write delete email delete upload open upload upload mass_download download upload write external_email write delete download delete download write email read read open mass_download delete email write delete email email close write email delete upload open email delete external_email mass_download write open mass_download write open close close close mass_download close upload external_email delete email open open write open external_email write download external_email mass_download email delete email write close mass_download close mass_download delete upload external_email upload download write close open email download,3.2545,1
user_42,144c4390-7e3b-4734-8230-928c067394c9,2025-01-01 10:35:49,60.0,5,1,1,1,1,0,0,0,4,5,7,1,open email read download upload,2.3219,1
user_16,1c6cc24a-9106-44bb-bda5-dca16a952313,2025-01-01 23:50:13,60.0,5,30,1,1,1,0,0,100,3,9,10,1,open read external_email delete delete,1.9219,1
user_34,b7300138-e07f-43d6-96a5-43e73153d64e,2025-01-01 23:05:41,60.0,100,30,30,20,1,0,0,0,3,6,10,0,close external_email upload write close external_email write external_email read delete write delete external_email external_email mass_download upload write read close write write upload email read delete delete mass_download open write email read mass_download open mass_download write open delete read external_email mass_download download open download read write mass_download upload close open upload download external_email delete delete mass_download download email mass_download delete external_email download write external_email close read external_email upload email read open open close upload email download read email read close read close email open download open close close read read read delete external_email write read download delete email mass_download email external_email,3.2903,1
user_100,fb90171c-f429-4550-9c1b-37118eb83ea5,2025-01-01 16:27:04,1.0,100,1,30,20,0,0,0,0,4,6,10,1,open close write read read external_email download open mass_download close external_email upload download external_email external_email read close external_email delete mass_download read external_email close mass_download external_email mass_download open upload write read close open email close download open close mass_download read open read download read mass_download read mass_download email read close open mass_download mass_download open email delete close download open open read mass_download delete mass_download external_email email read open open write read external_email external_email email write upload mass_download external_email upload upload close close write close close delete read mass_download write download download read external_email download open read download upload external_email download write,3.1997,1
user_47,561f7a5f-10f0-4f0d-b28d-f9cbc13b2bc1,2025-01-01 12:39:53,1.0,100,1,30,20,0,0,0,100,5,8,5,1,upload external_email delete mass_download read open write close download external_email download open upload email mass_download open open download read external_email mass_download email upload mass_download email download close external_email read email upload mass_download mass_download read write external_email delete delete external_email write open read external_email email email external_email download upload download write mass_download upload upload download close external_email write upload write write upload upload email download download download read mass_download email delete read delete read email mass_download open external_email close close mass_download download external_email open external_email delete write write download email write email download open upload close download mass_download external_email mass_download write,3.2678,1
user_8,10a8a2dc-c4c1-4252-9894-1290f04bc125,2025-01-01 11:46:08,1.0,5,30,1,1,1,0,0,0,1,7,7,1,download open mass_download close read,2.3219,1
user_92,762b83e1-2430-4dae-8eae-ce07425d279d,2025-01-01 16:19:21,60.0,5,1,1,1,0,0,0,0,1,5,8,1,read email open mass_download open,1.9219,1
user_52,42d50df8-cb4d-4839-824f-32a60a153a0b,2025-01-01 09:52:20,60.0,100,1,30,20,0,0,0,100,2,7,8,1,email read external_email close close mass_download mass_download download open close write write delete read delete mass_download read close mass_download read external_email open write write upload external_email email delete write mass_download email delete mass_download mass_download open open close download open write email open read email open mass_download delete external_email email download delete read download close open upload open write delete mass_download mass_download write close email delete email open external_email mass_download open upload close upload email mass_download close external_email read close read mass_download open download email read external_email email email delete mass_download close open open upload close email delete external_email delete write,3.2432,1
user_6,9b60a9d3-a606-43f1-a73c-e850236ec444,2025-01-01 06:55:41,60.0,100,30,30,20,1,0,0,0,4,9,5,1,external_email email write open read read mass_download write upload delete download close write delete close external_email email upload mass_download external_email read read mass_download download email external_email upload mass_download open read download delete write close upload delete download download delete write download read download upload open email close external_email upload mass_download email open close download email write download read email download write email read read open upload upload upload delete delete external_email email open delete upload close mass_download write close email read delete delete external_email external_email email open download download download open delete email close email close external_email upload read upload,3.2848,1
user_72,ab574710-4638-4d30-b4d1-4cdfb83e595e,2025-01-01 20:42:26,1.0,5,1,1,1,1,0,0,100,2,7,10,1,external_email download external_email external_email email,1.371,1
