user_id,session_id,timestamp_start,duration,num_actions,uniq_resources,num_file_open,num_file_delete,external_drive_use,night_activity,weekend_activity,web_connections_count,sensitive_keywords_detected,email_external_count,auth_failed_count,new_ip_login,actions_seq,entropy_of_activity_timeline,is_anomaly
user_81,a4954fad-d048-44be-aa40-df174b1184d0,2025-01-01 05:21:00,18.61,12,1,4,1,1,1,0,0,0,0,6,1,upload download download delete download close write mass_download upload encrypt read read,2.8554,1
user_105,db9c4676-35c2-4193-90c1-4e14559dfbed,2025-01-01 14:45:00,29.25,27,1,8,10,0,0,0,12,5,4,0,0,email close mass_download read close delete delete close close rename rename upload download delete email encrypt email external_email rename encrypt rename mass_download external_email external_email external_email rename encrypt,3.1299,1
user_92,9041b4e5-d9ba-4df9-bd5b-88689a6d8990,2025-01-01 00:29:00,17.79,21,3,5,8,1,1,0,9,5,4,6,1,rename email external_email close delete mass_download read open upload delete encrypt email write upload read write read mass_download download mass_download write,3.4273,1
user_8,0336412e-c0fa-4209-b02c-e1bccd692404,2025-01-01 08:24:00,9.63,27,9,6,6,1,0,0,0,0,0,3,1,rename write delete write close email email encrypt mass_download email external_email open mass_download delete rename upload delete email delete upload upload rename write delete download rename email,3.1723,1
user_78,ce80eb7f-6369-4774-83ea-94327ee69547,2025-01-01 03:03:00,5.34,50,1,14,21,0,1,0,0,5,9,9,1,upload write encrypt email mass_download download mass_download read open external_email email encrypt close rename open upload encrypt encrypt email delete rename upload download email email close write read close close external_email write close email delete download download download upload write write email external_email download open write mass_download read delete delete,3.4979,1
user_93,3f2d0c94-2155-42ab-aa2e-695064a074ae,2025-01-01 05:31:00,2.51,18,7,4,7,1,1,0,20,0,0,3,0,encrypt external_email external_email rename mass_download delete close delete write read rename mass_download upload encrypt external_email delete write external_email,3.0169,1
user_92,85a67e00-504b-41c6-b718-79cd0357ccd5,2025-01-01 16:25:00,18.82,34,11,6,4,0,0,0,0,3,1,5,1,delete mass_download rename write rename read external_email download delete write write mass_download open delete rename delete upload mass_download write rename write write write write mass_download external_email delete read upload rename external_email delete delete write,2.8361,1
user_20,5ad166cb-ca8a-499e-8952-5b9c0f8d358f,2025-01-01 21:03:00,8.22,92,6,27,32,0,0,0,150,0,6,4,1,download download external_email upload email encrypt email external_email write mass_download read open close mass_download download upload read download mass_download external_email email delete delete write delete delete encrypt download download upload external_email email encrypt close delete delete mass_download encrypt delete write rename read delete read write mass_download download write rename upload external_email email close email write write upload external_email email open email upload mass_download mass_download open email write download delete delete open download rename mass_download download email email open open close delete open upload external_email close encrypt upload encrypt external_email mass_download download read,3.5037,1
user_42,45880e62-ac31-40b2-8a5c-74077592cd82,2025-01-01 11:15:00,11.4,18,5,6,8,0,0,0,4,0,9,8,1,write read external_email encrypt open close upload delete external_email write write write close open upload mass_download delete rename,3.1699,1
user_50,bc74617e-b91e-4073-bda8-7980a5a2f609,2025-01-01 22:11:00,24.09,78,6,26,9,1,0,0,3,0,10,0,1,rename write delete open email email close write delete read external_email mass_download upload open delete delete external_email email upload external_email write open download mass_download email rename download rename close close open upload external_email mass_download encrypt rename delete delete encrypt external_email encrypt download read write upload upload mass_download mass_download mass_download external_email delete upload encrypt read delete email upload open delete download external_email download delete open read email upload open rename download email write upload rename download external_email external_email download,3.5038,1
