user_id,session_id,timestamp_start,duration,num_actions,uniq_resources,num_file_open,num_file_delete,external_drive_use,night_activity,weekend_activity,web_connections_count,sensitive_keywords_detected,email_external_count,auth_failed_count,new_ip_login,actions_seq,entropy_of_activity_timeline,is_anomaly
user_30,679239c9-5abb-4de9-9c70-5c902488bc2b,2025-01-01 12:55:00,60.0,100.0,30.0,30.0,20.0,1,0,0,0.0,3,9.0,9.0,1,open external_email upload close external_email external_email close download mass_download external_email upload mass_download upload delete email open write open close mass_download email write read close external_email delete read email external_email open email upload external_email delete mass_download download email mass_download download close write close read close delete email delete upload write download mass_download email open close delete open mass_download open close external_email delete delete upload delete email mass_download read external_email delete download read mass_download download read open read write delete mass_download read open mass_download external_email read external_email write download email mass_download mass_download email write close close read download close close mass_download write,3.2839,1
user_28,a7ce9047-d297-413d-a876-9835f9047ec7,2025-01-01 20:57:00,1.0,5.0,1.0,1.0,1.0,1,0,0,100.0,1,8.0,5.0,1,open delete mass_download download write,2.3219,1
user_28,c1b6a9f3-bc3a-45bd-ba70-44562f5074c8,2025-01-01 00:27:00,60.0,100.0,30.0,30.0,20.0,1,1,0,100.0,2,10.0,6.0,0,write close read close email write mass_download read read external_email close delete mass_download close close download read open write mass_download download mass_download external_email upload download open delete external_email write mass_download email read mass_download mass_download delete write mass_download download mass_download read email email open delete email close write upload delete close delete email mass_download close read write read download read external_email write read close delete close download delete close email external_email mass_download mass_download download write read mass_download open email read mass_download write upload close email delete download delete download upload email upload open mass_download write upload mass_download open email open upload,3.2558,1
user_58,ef797455-8903-4f0a-ab58-bfcd857056df,2025-01-01 10:02:00,60.0,100.0,1.0,30.0,20.0,1,0,0,0.0,4,9.0,6.0,0,open close external_email close delete read mass_download close open external_email close write mass_download download read open delete read email external_email read external_email open email delete write delete open read mass_download external_email delete download close read read open email close close read upload upload email delete email delete mass_download download email mass_download external_email upload open write delete download delete close read external_email write download email close delete download write delete upload mass_download external_email email open email mass_download delete upload delete open upload external_email mass_download mass_download email open external_email close close download mass_download close write download delete close read close email open,3.2699,1
user_99,1fc14667-6cfd-4735-b395-6f14202ca1b9,2025-01-01 02:12:00,1.0,100.0,30.0,30.0,20.0,1,1,0,0.0,1,8.0,10.0,1,mass_download write download download write download email download upload write open upload download external_email write delete download read delete external_email external_email external_email upload external_email mass_download close delete delete delete upload mass_download open close write email email download read open mass_download close delete mass_download delete email download email download open read upload write download close upload read download download close write download email write download open open external_email read download mass_download delete mass_download write external_email read open external_email email external_email external_email write open download download upload write delete mass_download download read external_email upload write close read write write open read upload,3.2469,1
user_60,5a360efb-292e-46fd-95ea-036f287d0261,2025-01-01 05:44:00,1.0,100.0,30.0,30.0,20.0,1,1,0,100.0,1,10.0,8.0,1,download close write upload delete write close upload upload mass_download mass_download read upload delete email upload mass_download external_email open delete open read open upload read download download download close external_email open upload write write read close mass_download email external_email delete email open download write download upload email mass_download close upload read upload download mass_download email read write upload email close download email download mass_download download close mass_download close open read open upload read write delete delete download download delete open delete upload mass_download download mass_download upload close external_email download close mass_download download read delete close email external_email close upload mass_download,3.2482,1
user_6,5e78e2f5-3e71-4390-a71b-8280ceb1f45e,2025-01-01 12:52:00,1.0,100.0,30.0,30.0,20.0,0,0,0,100.0,3,7.0,8.0,1,write delete external_email write open open upload read upload close close email write read open read upload external_email email mass_download mass_download read download download delete open write open close close external_email close write read delete download close read download download delete download mass_download mass_download email download email download write download upload write read open download upload download read external_email download open write mass_download open read email open upload external_email read close read delete mass_download upload write write upload close delete write download delete delete download email mass_download mass_download upload external_email delete external_email write write mass_download email upload external_email external_email download,3.2863,1
user_54,40cac879-28f7-4254-8be6-46d9731b397a,2025-01-01 15:10:00,60.0,5.0,1.0,1.0,1.0,1,0,0,100.0,2,10.0,9.0,0,read close upload write mass_download,2.3219,1
user_46,e5a96414-ab99-4d62-b47e-bdbad1941da1,2025-01-01 23:19:00,1.0,5.0,1.0,1.0,1.0,1,0,0,100.0,4,10.0,6.0,0,external_email close email close close,1.371,1
user_22,c7c63cb6-23e5-4d3a-89dc-883b5ea9563b,2025-01-01 11:14:00,1.0,5.0,1.0,1.0,1.0,0,0,0,0.0,5,5.0,10.0,0,upload write close download write,1.9219,1
