user_id,session_id,timestamp_start,duration,num_actions,uniq_resources,num_file_open,num_file_delete,external_drive_use,night_activity,weekend_activity,web_connections_count,sensitive_keywords_detected,email_external_count,auth_failed_count,new_ip_login,actions_seq,entropy_of_activity_timeline,risk_level
user_27,a9a6ae3e-2f42-4d2d-99da-c5a5920aec5c,2025-01-01 00:36:00,21.02,31,1,10,0,0,0,0,7,0,0,0,0,open read read close download read write upload read download write close open read upload close email write open email open write open upload download write close write write write read,2.6758,1
user_47,28b528c5-a2a9-49c9-8879-48c6d24dada6,2025-01-01 10:27:00,14.71,37,4,12,0,0,0,0,7,0,0,0,0,write download email open close open upload write open close write download email download download upload open email read open read write open read close close upload download email read read download email upload upload close write,2.8022,1
user_142,cdde0af7-6c5f-4aaf-a880-244dc8ee1479,2025-01-01 19:08:00,20.49,15,4,7,0,0,0,0,13,0,0,0,0,email email write email email open close download close close write close upload open close,2.3329,1
user_149,63e45c21-f1c1-46db-ba37-1fbd5af1e811,2025-01-01 00:09:00,11.42,5,5,2,0,0,0,0,4,0,0,0,0,email open write email email,1.371,1
user_130,a5ee330a-7fa5-4b52-bc9e-88c61e884fc0,2025-01-01 14:16:00,17.16,39,4,14,1,0,0,0,9,0,0,0,0,open close close write email email upload close download read upload download download open upload read close upload close download email upload open upload email write email write write read read email open download email email open close open,2.769,1
user_92,7125bcb2-c2db-45f7-9672-82285d850613,2025-01-01 00:21:00,20.9,40,2,10,1,0,0,0,17,0,0,0,0,email close open read email read email open upload close write read read open close download write read download download upload write open upload write email email upload download write upload upload write close close upload write close read email,2.7761,1
user_65,d392189d-4696-4197-9684-a68191791870,2025-01-01 02:29:00,16.44,38,4,10,1,0,0,0,7,1,0,0,0,open download close read email download read upload email download open read close download close download write email read read upload read download open read read email upload open upload upload close download email write email read read,2.6692,1
user_38,fd11d6cf-4a65-4e3c-805a-2627e5075f3b,2025-01-01 00:04:00,15.13,15,5,7,1,0,0,0,11,0,0,0,0,upload download email open write upload open open download upload read close upload write write,2.6062,1
user_146,1d2df124-e6d3-4933-9c18-d843fff1b0e0,2025-01-01 21:24:00,12.25,31,6,10,2,0,0,0,3,0,0,0,0,download read close email download write read download read open email open write email read download close read read write open download upload read upload read email open download upload email,2.6758,1
user_72,57f16411-31ed-4ea0-8c4c-bfce258a0b34,2025-01-01 10:36:00,18.87,14,10,3,3,0,0,0,11,1,0,0,0,open open download close open close email open write email download open read close,2.3527,1
user_128,10049d5d-f2cc-46d6-b956-592ac292b40e,2025-01-01 05:31:00,28.73,35,1,10,2,0,0,0,0,2,0,0,0,download download read upload write email upload close close close download email upload upload upload open email email download open write close email open write download open close download open download upload write open email,2.6781,1
user_95,1fe19788-9567-48c0-ac7c-a0117dc0f48d,2025-01-01 20:39:00,10.71,37,11,7,1,0,0,0,20,1,0,0,0,email write close read read download email download close close email write write open read upload download write open upload close upload read email close read email email write download close write read write read download read,2.695,1
user_8,d7a6e551-9f74-4cbc-9fae-faee9fe649a3,2025-01-01 10:08:00,25.38,20,5,9,0,0,0,0,0,0,0,0,0,upload email open read close read upload open open open close open email download read close email close email read,2.4414,1
user_30,29bf1487-ddc9-486a-89ef-d800177672d1,2025-01-01 19:44:00,11.59,12,10,4,1,0,0,0,6,0,0,0,0,open email read open upload write download write download open close read,2.6887,1
