user_id,session_id,timestamp_start,duration,num_actions,uniq_resources,num_file_open,num_file_delete,external_drive_use,night_activity,weekend_activity,web_connections_count,sensitive_keywords_detected,email_external_count,auth_failed_count,new_ip_login,actions_seq,entropy_of_activity_timeline,risk_level
user_108,f455b742-85c2-48dd-aeed-5e76881d8cce,2025-01-01 08:37:00,9.75,21,7,3,2,0,0,0,18,1,0,0,0,write close upload read read read download open open download close read read upload email read download write write email upload,2.6888,1
user_134,f5ce4844-e49f-402e-ac1e-60a19474a00e,2025-01-01 16:15:00,13.69,41,1,13,1,0,0,0,8,0,5,0,0,write close read read upload upload write open read open read close close open upload read write write write upload read email email close close email open open download upload close upload upload read open write open read open email close,2.6548,1
user_107,62fbffb6-b169-49c4-a7e3-17bf38b9251a,2025-01-01 23:58:00,4.28,40,4,10,1,0,1,0,14,0,0,0,0,read encrypt external_email download email upload upload delete email email encrypt rename download open write email encrypt mass_download rename open encrypt delete download upload open read open download encrypt close email rename download upload external_email mass_download external_email rename close download,3.4348,1
user_10,020e4b31-f172-48bf-825e-83916176519f,2025-01-01 05:23:00,15.61,21,5,10,0,0,1,0,19,1,0,0,0,close email email write close email write download email close email download write email upload read read write open read upload,2.6295,1
user_14,193f24ca-43ba-487d-bb59-677f86373606,2025-01-01 07:40:00,24.97,19,9,4,0,0,0,0,13,0,0,0,1,open open download write write read write download open open open upload download close upload upload upload read open,2.4048,1
user_79,08c5b8a7-51d8-466e-9c17-ed71e966932e,2025-01-01 09:03:00,5.86,35,4,8,2,0,0,0,8,0,2,0,0,open close rename write download email email close read read read delete external_email upload email read mass_download external_email write read external_email write mass_download close external_email external_email encrypt close rename encrypt delete open download email delete,3.4513,1
user_6,ac9df423-99a9-4a10-b912-f5508c0a8f9f,2025-01-01 22:01:00,16.35,46,7,20,1,0,0,0,17,0,2,0,0,external_email download write write open rename open mass_download write open write write email rename write download open external_email upload write delete open external_email read write external_email upload open email upload open rename delete upload read encrypt open download rename mass_download delete read mass_download write close rename,3.3245,1
user_82,2b3cf8e4-266f-4a32-9fae-72e539258351,2025-01-01 05:53:00,17.51,10,2,4,0,0,1,0,10,5,0,0,0,encrypt open read delete external_email read write open rename email,2.9219,1
user_59,138eef64-6874-47f0-97a4-795f70e14934,2025-01-01 22:25:00,13.34,11,6,3,0,0,0,0,4,5,5,0,1,download open email read close email read open write read email,2.4131,1
user_111,f8edeca4-02ea-48ee-bac2-adb8e80051bb,2025-01-01 18:52:00,18.73,5,3,2,0,0,0,0,7,0,5,0,0,upload write open upload download,1.9219,1
